year,County,Type,Mean
2000,San Mateo,SFG,98.423509039548
2000,San Mateo,SFL,2.33609811320755
2000,San Mateo,SPY,5.80580944444444
2000,San Mateo,TT,723710
2001,Alameda,2B,318203.888888889
2001,Alameda,3B,426436.979166667
2001,Alameda,4B,536807.291666667
2001,Alameda,A,416173.958333333
2001,Alameda,BT,267712.5
2001,Alameda,DV,19.13859375
2001,Alameda,FR,1.2360552238806
2001,Alameda,HF,0.510386666666667
2001,Alameda,IV,77.1766145833333
2001,Alameda,MSP,369099.35804908
2001,Alameda,MSPSF,260.966744061664
2001,Alameda,MT,410456.25
2001,Alameda,MVSF,274.942708333333
2001,Alameda,SF,438337.5
2001,Alameda,SFG,95.2639201117318
2001,Alameda,SFL,4.94159707602339
2001,Alameda,SPY,5.615634375
2001,Alameda,TT,665319.254658385
2001,Contra Costa,2B,295376.25
2001,Contra Costa,3B,402366.26984127
2001,Contra Costa,4B,503740.476190476
2001,Contra Costa,A,443676.515151515
2001,Contra Costa,BT,251535.833333333
2001,Contra Costa,DV,9.44508333333333
2001,Contra Costa,FR,1.961575
2001,Contra Costa,HF,0.799785365853659
2001,Contra Costa,IV,88.0979583333333
2001,Contra Costa,MSP,403338.025947303
2001,Contra Costa,MSPSF,230.558357845971
2001,Contra Costa,MT,433415.873015873
2001,Contra Costa,MVSF,237.185606060606
2001,Contra Costa,SF,465200.378787879
2001,Contra Costa,SFG,96.6382848739496
2001,Contra Costa,SFL,3.8503035
2001,Contra Costa,SPY,6.38561458333333
2001,Contra Costa,TT,608638.541666667
2001,Marin,2B,534848.958333333
2001,Marin,3B,694051.041666667
2001,Marin,4B,919884.375
2001,Marin,A,709598.958333333
2001,Marin,BT,234055.952380952
2001,Marin,DV,18.4702083333333
2001,Marin,FR,0.986683333333333
2001,Marin,HF,0.65077
2001,Marin,IV,76.73375
2001,Marin,MSP,584279.549365574
2001,Marin,MSPSF,361.548662534114
2001,Marin,MT,475331.25
2001,Marin,MVSF,391.104166666667
2001,Marin,SF,779448.958333333
2001,Marin,SFG,94.9430422535211
2001,Marin,SFL,6.33509818181818
2001,Marin,SPY,4.90401979166667
2001,Marin,TT,826843.75
2001,Napa,2B,464447.916666667
2001,Napa,3B,371218.75
2001,Napa,4B,798154.166666667
2001,Napa,A,383462.5
2001,Napa,BT,273441.666666667
2001,Napa,DV,4.39291666666667
2001,Napa,FR,1.0713625
2001,Napa,HF,1.02037777777778
2001,Napa,IV,94.4708333333333
2001,Napa,MSP,305457.291666667
2001,Napa,MSPSF,184.684745833333
2001,Napa,MT,307258.333333333
2001,Napa,MVSF,240.625
2001,Napa,SF,393075
2001,Napa,SFG,99.0378916666667
2001,Napa,SFL,1.36211428571429
2001,Napa,SPY,6.34034166666667
2001,Napa,TT,764377.083333333
2001,Sacramento,2B,118852.777777778
2001,Sacramento,3B,185353.846153846
2001,Sacramento,4B,256608.333333333
2001,Sacramento,A,201457.142857143
2001,Sacramento,BT,142547.5
2001,Sacramento,DV,2.25059523809524
2001,Sacramento,FR,3.8529389261745
2001,Sacramento,HF,2.05783767123288
2001,Sacramento,IV,97.1014285714286
2001,Sacramento,MSP,180339.785714286
2001,Sacramento,MSPSF,119.154541071429
2001,Sacramento,MT,206762.878787879
2001,Sacramento,MVSF,118.511904761905
2001,Sacramento,SF,223291.071428571
2001,Sacramento,SFG,98.477905952381
2001,Sacramento,SFL,1.84922170542636
2001,Sacramento,SPY,7.71666964285714
2001,Sacramento,TT,310209.027777778
2001,San Francisco,2B,494950
2001,San Francisco,3B,567316.666666667
2001,San Francisco,4B,620008.333333333
2001,San Francisco,A,506150
2001,San Francisco,BT,293716.666666667
2001,San Francisco,DV,31.7575
2001,San Francisco,FR,0.354663636363636
2001,San Francisco,HF,0.203141666666667
2001,San Francisco,IV,62.6716666666667
2001,San Francisco,MSP,517208.333333333
2001,San Francisco,MSPSF,407.932066666667
2001,San Francisco,MT,387525
2001,San Francisco,MVSF,402.75
2001,San Francisco,SF,488083.333333333
2001,San Francisco,SFG,99.45845
2001,San Francisco,SFL,0.54155
2001,San Francisco,SPY,4.25233333333333
2001,San Francisco,TT,624333.333333333
2001,San Mateo,2B,433770.833333333
2001,San Mateo,3B,633542.1875
2001,San Mateo,4B,813483.333333333
2001,San Mateo,A,653396.875
2001,San Mateo,BT,295966.666666667
2001,San Mateo,DV,30.4192222222222
2001,San Mateo,FR,1.276352
2001,San Mateo,HF,0.7877125
2001,San Mateo,IV,63.682
2001,San Mateo,MSP,582197.843191667
2001,San Mateo,MSPSF,374.022585857608
2001,San Mateo,MT,436848.4375
2001,San Mateo,MVSF,388.671875
2001,San Mateo,SF,674972.395833333
2001,San Mateo,SFG,95.9031988571429
2001,San Mateo,SFL,4.79209379310345
2001,San Mateo,SPY,4.88126055555556
2001,San Mateo,TT,773178.333333333
2002,Alameda,2B,338772.777777778
2002,Alameda,3B,449368.75
2002,Alameda,4B,560780.208333333
2002,Alameda,A,437882.8125
2002,Alameda,BT,288769.791666667
2002,Alameda,DV,23.8542708333333
2002,Alameda,FR,1.09745465116279
2002,Alameda,HF,0.759163095238095
2002,Alameda,IV,70.895625
2002,Alameda,MSP,390437.058277586
2002,Alameda,MSPSF,278.297016893024
2002,Alameda,MT,434540.625
2002,Alameda,MVSF,291.151041666667
2002,Alameda,SF,459169.791666667
2002,Alameda,SFG,93.685290860215
2002,Alameda,SFL,6.90761071428571
2002,Alameda,SPY,5.69083385416667
2002,Alameda,TT,690127.380952381
2002,Contra Costa,2B,318082.083333333
2002,Contra Costa,3B,428068.650793651
2002,Contra Costa,4B,531080.158730159
2002,Contra Costa,A,470199.242424242
2002,Contra Costa,BT,275518.333333333
2002,Contra Costa,DV,23.9378333333333
2002,Contra Costa,FR,1.41279912280702
2002,Contra Costa,HF,0.717474757281553
2002,Contra Costa,IV,71.6901666666667
2002,Contra Costa,MSP,443875.464792149
2002,Contra Costa,MSPSF,249.817647411195
2002,Contra Costa,MT,463354.761904762
2002,Contra Costa,MVSF,253.193181818182
2002,Contra Costa,SF,491311.742424242
2002,Contra Costa,SFG,96.7154372384937
2002,Contra Costa,SFL,3.57253657407407
2002,Contra Costa,SPY,6.46548416666667
2002,Contra Costa,TT,635180.729166667
2002,Marin,2B,557407.291666667
2002,Marin,3B,720392.708333333
2002,Marin,4B,970117.708333333
2002,Marin,A,730818.75
2002,Marin,BT,247903.571428571
2002,Marin,DV,29.2377083333333
2002,Marin,FR,1.32063529411765
2002,Marin,HF,1.22068823529412
2002,Marin,IV,65.003125
2002,Marin,MSP,665334.78291625
2002,Marin,MSPSF,393.582494562935
2002,Marin,MT,506211.458333333
2002,Marin,MVSF,408.0625
2002,Marin,SF,819382.291666667
2002,Marin,SFG,93.8278712643678
2002,Marin,SFL,6.79321153846154
2002,Marin,SPY,5.19877916666667
2002,Marin,TT,860644.791666667
2002,Napa,2B,490570.833333333
2002,Napa,3B,431625
2002,Napa,4B,933179.166666667
2002,Napa,A,442004.166666667
2002,Napa,BT,330169.444444444
2002,Napa,DV,7.66041666666667
2002,Napa,FR,0.879407692307692
2002,Napa,HF,0.8778125
2002,Napa,IV,90.2545833333333
2002,Napa,MSP,352531.25
2002,Napa,MSPSF,200.9133125
2002,Napa,MT,351391.666666667
2002,Napa,MVSF,282.666666666667
2002,Napa,SF,450850
2002,Napa,SFG,98.1487208333333
2002,Napa,SFL,1.99685
2002,Napa,SPY,10.2081333333333
2002,Napa,TT,843522.916666667
2002,Sacramento,2B,141073.148148148
2002,Sacramento,3B,213703.205128205
2002,Sacramento,4B,294025
2002,Sacramento,A,232075.595238095
